mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__kernel,param_svr__gamma,param_svr__epsilon,param_svr__degree,param_svr__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.6868114948272703,0.21934826414792752,0.15619149208068847,0.008910295614454828,linear,auto,0.1,2,50.0,"{'svr__kernel': 'linear', 'svr__gamma': 'auto', 'svr__epsilon': 0.1, 'svr__degree': 2, 'svr__C': 50}",-272.84889284969375,-199.95417056254794,-252.1262344097187,-273.26877050472615,-182.15379248212426,-236.07037216176218,37.96195126203504,34
3.733645868301392,0.21798770155925748,1.110029363632202,0.07130715185825749,rbf,scale,0.01,3,0.1,"{'svr__kernel': 'rbf', 'svr__gamma': 'scale', 'svr__epsilon': 0.01, 'svr__degree': 3, 'svr__C': 0.1}",-175.9871604475606,-166.47029096474046,-171.76382366626243,-172.83950776149342,-158.9952017028151,-169.2111969085744,5.957740315391168,29
4.260082674026489,0.3527677012252168,1.1232407569885254,0.08661622094357373,rbf,auto,0.1,2,10.0,"{'svr__kernel': 'rbf', 'svr__gamma': 'auto', 'svr__epsilon': 0.1, 'svr__degree': 2, 'svr__C': 10}",-113.41060262356672,-110.330086636103,-112.40865291188287,-110.19628247788542,-107.85566955004342,-110.84025883989628,1.9312835935073018,11
4.401430320739746,0.21585936469127848,1.17167010307312,0.08770090523950443,rbf,scale,0.1,3,10.0,"{'svr__kernel': 'rbf', 'svr__gamma': 'scale', 'svr__epsilon': 0.1, 'svr__degree': 3, 'svr__C': 10}",-113.41060262356672,-110.33008663610308,-112.40865291188287,-110.19628247788542,-107.85566955004342,-110.8402588398963,1.931283593507298,13
3.4397858142852784,0.27348203702390317,0.4958512783050537,0.05518816997669103,poly,scale,0.01,3,1.0,"{'svr__kernel': 'poly', 'svr__gamma': 'scale', 'svr__epsilon': 0.01, 'svr__degree': 3, 'svr__C': 1}",-120.78809950639337,-118.37882416822929,-121.85942278038468,-124.35900675366312,-117.65795714252872,-120.60866207023984,2.4224170587113276,24
3.001574754714966,0.24557315277179234,0.4266538619995117,0.04472157133459765,linear,scale,0.5,2,0.1,"{'svr__kernel': 'linear', 'svr__gamma': 'scale', 'svr__epsilon': 0.5, 'svr__degree': 2, 'svr__C': 0.1}",-102.40092832375785,-101.9322586349658,-100.56526830700722,-101.0172286434382,-97.13827211100507,-100.61079120403483,1.8534572914518623,10
2.5774415016174315,0.1553493625182197,0.13924031257629393,0.003566551322611621,linear,scale,0.1,3,50.0,"{'svr__kernel': 'linear', 'svr__gamma': 'scale', 'svr__epsilon': 0.1, 'svr__degree': 3, 'svr__C': 50}",-272.84889284969375,-199.95417056254794,-252.1262344097187,-273.26877050472615,-182.15379248212426,-236.07037216176218,37.96195126203504,34
3.495694875717163,0.15349174294007417,0.473755407333374,0.025006507619885338,poly,auto,0.1,3,1.0,"{'svr__kernel': 'poly', 'svr__gamma': 'auto', 'svr__epsilon': 0.1, 'svr__degree': 3, 'svr__C': 1}",-120.77312300964599,-118.35415519651762,-121.80666428490821,-124.29201895992296,-117.70392055799918,-120.58597640179877,2.3894403521556473,23
4.188152742385864,0.3692870600461167,0.4781188011169434,0.10591908061040946,linear,scale,0.5,3,1.0,"{'svr__kernel': 'linear', 'svr__gamma': 'scale', 'svr__epsilon': 0.5, 'svr__degree': 3, 'svr__C': 1}",-102.43216423281825,-102.1835375062477,-100.50316321808545,-100.98753682028781,-96.82422653282472,-100.5861256620528,2.013925606782906,6
3.089993476867676,0.0915073806406171,0.43544788360595704,0.0562953884740125,linear,scale,0.01,3,0.1,"{'svr__kernel': 'linear', 'svr__gamma': 'scale', 'svr__epsilon': 0.01, 'svr__degree': 3, 'svr__C': 0.1}",-102.35670384016943,-101.95281600062353,-100.52391232687356,-100.99652076910436,-97.1201820591022,-100.59002699917461,1.8540643551942215,9
4.0337560176849365,0.3470491056097792,0.45479674339294435,0.05013543381762272,linear,auto,0.5,2,1.0,"{'svr__kernel': 'linear', 'svr__gamma': 'auto', 'svr__epsilon': 0.5, 'svr__degree': 2, 'svr__C': 1}",-102.43216423281825,-102.1835375062477,-100.50316321808545,-100.98753682028781,-96.82422653282472,-100.5861256620528,2.013925606782906,6
3.593217468261719,0.1327435919827947,0.2616372585296631,0.015109460242664291,linear,scale,0.1,2,10.0,"{'svr__kernel': 'linear', 'svr__gamma': 'scale', 'svr__epsilon': 0.1, 'svr__degree': 2, 'svr__C': 10}",-136.5083092437153,-119.61018380732206,-119.13815525828487,-158.43157622728123,-131.30822934532358,-132.9992907763854,14.376183818410944,25
4.26031527519226,0.2983910171517498,1.1464909076690675,0.10909385529432832,rbf,auto,0.01,3,10.0,"{'svr__kernel': 'rbf', 'svr__gamma': 'auto', 'svr__epsilon': 0.01, 'svr__degree': 3, 'svr__C': 10}",-113.40654857658352,-110.35729181188593,-112.50429936839726,-110.21286068561137,-107.91138885149124,-110.87847785879387,1.9262780395995585,15
4.670269203186035,0.11750457047795672,0.957155418395996,0.08848169767855886,rbf,scale,0.1,3,50.0,"{'svr__kernel': 'rbf', 'svr__gamma': 'scale', 'svr__epsilon': 0.1, 'svr__degree': 3, 'svr__C': 50}",-123.39529702777173,-118.50816699834026,-123.12084100296573,-120.22890236848849,-116.5330413260196,-120.35724974471717,2.643002762704346,20
